firstname,lastname,url,party,twitter
Desmond,Swayne,uk.org.publicwhip/member/1725,Con
Dominic,Grieve,uk.org.publicwhip/member/1394,Con
Douglas,Hogg,uk.org.publicwhip/member/1821,Con
Edward,Garnier,uk.org.publicwhip/member/1615,Con
Edward,Leigh,uk.org.publicwhip/member/1591,Con
Edward,Timpson,uk.org.publicwhip/member/2032,Con
Eleanor,Laing,uk.org.publicwhip/member/1574,Con
Francis,Maude,uk.org.publicwhip/member/1642,Con
Gary,Streeter,uk.org.publicwhip/member/1540,Con
Geoffrey,Clifton-Brown,uk.org.publicwhip/member/1515,Con
Geoffrey,Cox,uk.org.publicwhip/member/1541,Con
George,Osborne,uk.org.publicwhip/member/1868,Con
George,Young,uk.org.publicwhip/member/1613,Con
Gerald,Howarth,uk.org.publicwhip/member/1369,Con
Graham,Brady,uk.org.publicwhip/member/1371,Con
Greg,Clark,uk.org.publicwhip/member/1884,Con
Greg,Hands,uk.org.publicwhip/member/1610,Con
Greg,Knight,uk.org.publicwhip/member/1954,Con
Gregory,Barker,uk.org.publicwhip/member/1407,Con
Henry,Bellingham,uk.org.publicwhip/member/1737,Con
Hugh,Robertson,uk.org.publicwhip/member/1583,Con
Hugo,Swire,uk.org.publicwhip/member/1538,Con
Humfrey,Malins,uk.org.publicwhip/member/1933,Con
Iain,Duncan Smith,uk.org.publicwhip/member/1499,Con
Ian,Liddell-Grainger,uk.org.publicwhip/member/1451,Con
Ian,Taylor,uk.org.publicwhip/member/1578,Con
Jacqui,Lait,uk.org.publicwhip/member/1395,Con
James,Arbuthnot,uk.org.publicwhip/member/1612,Con
James,Clappison,uk.org.publicwhip/member/1634,Con
James,Duddridge,uk.org.publicwhip/member/1785,Con
James,Gray,uk.org.publicwhip/member/1926,Con
James,Paice,uk.org.publicwhip/member/1477,Con
Jeremy,Hunt,uk.org.publicwhip/member/1859,Con
Jeremy,Wright,uk.org.publicwhip/member/1791,Con
John,Baron,uk.org.publicwhip/member/1409,Con
John,Butterfill,uk.org.publicwhip/member/1438,Con
John,Greenway,uk.org.publicwhip/member/1796,Con
John,Gummer,uk.org.publicwhip/member/1852,Con
John,Hayes,uk.org.publicwhip/member/1825,Con
John,Horam,uk.org.publicwhip/member/1754,Con
John,Howell,uk.org.publicwhip/member/2033,Con
John,Maples,uk.org.publicwhip/member/1847,Con
John,Penrose,uk.org.publicwhip/member/1924,Con
John,Randall,uk.org.publicwhip/member/1893,Con
John,Redwood,uk.org.publicwhip/member/1934,Con
John,Stanley,uk.org.publicwhip/member/1877,Con
